;NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID;BAIRRO;Tamanho;Endereco;BAIRRO_LOC;LATITUDE;LONGITUDE;LAT_BAIRRO;LONG_BAIRRO
50;CIEJA - SUPLETIVO A DISTÂNCIA;;;AVENIDA IMPERADOR, 195 , CENTRO, FORTALEZA , CE, 60015,051;;;Ensino Médio;CENTRO;7;AVENIDA IMPERADOR  195 , FORTALEZA;Centro, FORTALEZA, CE;-3.7230947;-38.5329721;-3.7281287;-38.527412
51;Colégio M.Fialho Jacarecanga;;;RUA CONSELHEIRO ESTELITA, 264 , JACARECANGA, FORTALEZA , CE, 60010,260;;;Ensino Médio;JACARECANGA;7;RUA CONSELHEIRO ESTELITA  264 , FORTALEZA;Jacarecanga, FORTALEZA, CE;-3.7231745;-38.5393404;-3.7218504;-38.5416884
52;EEFM Antônio Sales;;;RUA PROFESSOR ANACLETO, 630 , PARQUELÂNDIA, FORTALEZA , CE, 63475,102;;;Ensino Médio;PARQUELÂNDIA;7;RUA PROFESSOR ANACLETO  630 , FORTALEZA;Parquelândia, FORTALEZA, CE;-3.7394635;-38.5522085;-3.7377987;-38.5590543
53;Secretaria de Estado de Educação do Ceará;;;AV. GEN. AFONSO ALBUQUERQUE LIMA , CAMBEBA, FORTALEZA , CE, 60822,325;;;Ensino Médio;CAMBEBA;6; GEN. AFONSO ALBUQUERQUE LIMA , FORTALEZA;Cambeba, FORTALEZA, CE;-3.8131484;-38.4861531;-3.8066024;-38.4851322
54;Colégio Duque de Caxias;;;R. PERU, 1675 , PARANGABA, FORTALEZA , CE, 60740,786;;;Ensino Médio;PARANGABA;7;R. PERU  1675 , FORTALEZA;Parangaba, FORTALEZA, CE;-3.781375;-38.5535687;-3.7771465;-38.5671367
55;Christus Dionísio Torres;;;R. ISRAEL BEZERRA, 630 , DIONÍSIO TORRES, FORTALEZA , CE, 60135,460;;;Ensino Médio;DIONÍSIO TORRES;7;R. ISRAEL BEZERRA  630 , FORTALEZA;Dionísio Torres, FORTALEZA, CE;-3.750379;-38.495774;-3.7480271;-38.5064872
56;EEM Liceu Estadual Prof. Domingos Brasileiro;;;R. PLANALTINA, SN , PLANALTO AYRTON SENNA, FORTALEZA , CE, 60760,480;;;Ensino Médio;PLANALTO AYRTON SENNA;7;R. PLANALTINA   , FORTALEZA;Planalto Ayrton Senna, FORTALEZA, CE;-3.8326035;-38.5694534;-3.8352124;-38.5725796
57;Colégio Espaço Aberto;;;AV. DOM LUÍS, 730 , ALDEOTA, FORTALEZA , CE, 60160,230;;;Ensino Médio;ALDEOTA;7; DOM LUÍS  730 , FORTALEZA;Aldeota, FORTALEZA, CE;-3.7343128;-38.4947916;-3.7341528;-38.5096997
58;Colégio Vasconcelos Vieira;;;RUA MAJOR PEDRO SAMPAIO, 376 , RODOLFO TEÓFILO, FORTALEZA , CE, 60430,180;;;Ensino Médio;RODOLFO TEÓFILO;7;RUA MAJOR PEDRO SAMPAIO  376 , FORTALEZA;Rodolfo Teófilo, FORTALEZA, CE;-3.7411201;-38.5491444;-3.746289;-38.5499015
59;Colégio Salesiano Dom Bosco;;;R. JOAQUIM TÔRRES, 185 , JOAQUIM TÁVORA (FORTALEZA), FORTALEZA , CE, 60135,130;;;Ensino Médio;JOAQUIM TÁVORA (FORTALEZA);7;R. JOAQUIM TÔRRES  185 , FORTALEZA;Joaquim Távora (Fortaleza), FORTALEZA, CE;-3.7408458;-38.5217685;-3.7446816;-38.5186105
60;Alternativo Sistema de Ensino;;;RUA DR. RIBAMAR LOBO, 363 , PAPICU, FORTALEZA , CE, 60192,230;;;Ensino Médio;PAPICU;7;RUA DOUTOR RIBAMAR LOBO  363 , FORTALEZA;Papicu, FORTALEZA, CE;-3.7477166;-38.468374;-3.7395449;-38.4753765
61;Escola Educar Sesc;;;AV. JOÃO PESSOA, 5920 , MONTESE, FORTALEZA , CE, 60425,682;;;Ensino Médio;MONTESE;7; JOÃO PESSOA  5920 , FORTALEZA;Montese, FORTALEZA, CE;-7.2013782;-34.8571665;-3.7640575;-38.5508418
62;Colégio Salesiano Dom Bosco Fortaleza;;;AV. ANTÔNIO SALES, 116 , JOAQUIM TÁVORA (FORTALEZA), FORTALEZA , CE, 60135,101;;;Ensino Médio;JOAQUIM TÁVORA (FORTALEZA);7; ANTÔNIO SALES  116 , FORTALEZA;Joaquim Távora (Fortaleza), FORTALEZA, CE;-3.7403297;-38.5210157;-3.7446816;-38.5186105
63;Colégio Batista Santos Dumont;;;RUA DESEMBARGADOR LEITE ALBUQUERQUE, 1056 , ALDEOTA, FORTALEZA , CE, 60150,150;;;Ensino Médio;ALDEOTA;7;RUA DESEMBARGADOR LEITE ALBUQUERQUE  1056 , FORTALEZA;Aldeota, FORTALEZA, CE;-3.738835;-38.4953933;-3.7341528;-38.5096997
64;Escola Sonho Infantil | Educação Infantil | Ensino Fundamental | Colégio Particular Infantil |;;;R. DA ASSUNÇÃO, 1668 , JOSÉ BONIFACIO, FORTALEZA , CE, 60712,020;;;Ensino Médio;JOSÉ BONIFACIO;7;R. DA ASSUNÇÃO  1668 , FORTALEZA;José Bonifacio, FORTALEZA, CE;-3.7440733;-38.5320479;-3.7394569;-38.5285591
65;Colégio Santo Tomás de Aquino;;;R. MARIO MAMEDE, 750 , FÁTIMA, FORTALEZA , CE, 60415,000;;;Ensino Médio;FÁTIMA;7;R. MARIO MAMEDE  750 , FORTALEZA;Fátima, FORTALEZA, CE;-3.7527915;-38.5268678;-3.7517525;-38.5290848
66;Colégio Estadual Justiniano de Serpa;;;AV. SANTOS DUMONT, 56 , CENTRO, FORTALEZA , CE, 63475,144;;;Ensino Médio;CENTRO;7; SANTOS DUMONT  56 , FORTALEZA;Centro, FORTALEZA, CE;-3.7290504;-38.5230049;-3.7281287;-38.527412
67;Colégio São Mateus;;;R. FREI HUMBERTO, 748 , BENFICA, FORTALEZA , CE, 60011,110;;;Ensino Médio;BENFICA;7;R. FREI HUMBERTO  748 , FORTALEZA;Benfica, FORTALEZA, CE;-3.7291144;-38.5428375;-3.741486;-38.538855
68;Colégio Santo Inácio;;;AV. DESEMBARGADOR MOREIRA, 2355 , ALDEOTA, FORTALEZA , CE, 60135,102;;;Ensino Médio;ALDEOTA;7; DESEMBARGADOR MOREIRA  2355 , FORTALEZA;Aldeota, FORTALEZA, CE;-3.7466572;-38.5011209;-3.7341528;-38.5096997
69;Colégio Militar de Fortaleza (CMF);;;AV. SANTOS DUMONT, 485 , ALDEOTA, FORTALEZA , CE, 60150,160;;;Ensino Médio;ALDEOTA;7; SANTOS DUMONT  485 , FORTALEZA;Aldeota, FORTALEZA, CE;-3.7291483;-38.5177493;-3.7341528;-38.5096997
70;Colégio Monsenhor Joviniano Barreto;;;RUA FREI VIDAL, 1621 , SÃO JOÃO DO TAUAPE, FORTALEZA , CE, 60120,100;;;Ensino Médio;SÃO JOÃO DO TAUAPE;7;RUA FREI VIDAL  1621 , FORTALEZA;São João do Tauape, FORTALEZA, CE;-3.7540458;-38.5178967;-3.7573612;-38.5106394
71;EMEIEF Frei Agostinho Fernandes;;;AV. CÉSAR CALS, 2370 , PRAIA DO FUTURO I, FORTALEZA , CE, 60182,000;;;Ensino Médio;PRAIA DO FUTURO I;7; CÉSAR CALS  2370 , FORTALEZA;Praia do Futuro I, FORTALEZA, CE;-3.7379747;-38.4565172;-3.7398076;-38.456122
72;Espaço Criativo;;;R. LAURO MAIA, 1353 , FÁTIMA, FORTALEZA , CE, 60055,210;;;Ensino Médio;FÁTIMA;7;R. LAURO MAIA  1353 , FORTALEZA;Fátima, FORTALEZA, CE;-3.7526093;-38.5215189;-3.7517525;-38.5290848
73;EMEIEF José Dias Macêdo;;;R. NUNES VALENTE, 809 , MEIRELES, FORTALEZA , CE, 60125,070;;;Ensino Médio;MEIRELES;7;R. NUNES VALENTE  809 , FORTALEZA;Meireles, FORTALEZA, CE;-3.7316912;-38.5020483;-3.7278218;-38.5003721
74;CEJA - Centro Integrado de Educação para Jovens e Adultos;;;AV. BEZERRA DE MENEZES, 100 , FARIAS BRITO, FORTALEZA , CE, 60325,000;;;Ensino Médio;FARIAS BRITO;7; BEZERRA DE MENEZES  100 , FORTALEZA;Farias Brito, FORTALEZA, CE;-3.7304179;-38.5411855;-3.7296496;-38.5430883
75;Vasconcelos Colegio;;;AV. VISCONDE DO RIO BRANCO, 1257 , CENTRO, FORTALEZA , CE, 60055,170;;;Ensino Médio;CENTRO;7; VISCONDE DO RIO BRANCO  1257 , FORTALEZA;Centro, FORTALEZA, CE;-3.7318449;-38.5244436;-3.7281287;-38.527412
76;Colégio e Curso Zerohum;;;AVENIDA IMPERADOR, 820 , CENTRO, FORTALEZA , CE, 60015,050;;;Ensino Médio;CENTRO;7;AVENIDA IMPERADOR  820 , FORTALEZA;Centro, FORTALEZA, CE;-3.7339126;-38.5364876;-3.7281287;-38.527412
77;Colégio Academos;;;R. COSTA BARROS, 850 , ALDEOTA, FORTALEZA , CE, 60160,281;;;Ensino Médio;ALDEOTA;7;R. COSTA BARROS  850 , FORTALEZA;Aldeota, FORTALEZA, CE;-3.7290753;-38.5163413;-3.7341528;-38.5096997
78;Colégio Universo;;;R. JOAQUIM ALBANO, 100 , PADRE ANDRADE, FORTALEZA , CE, 60356,342;;;Ensino Médio;PADRE ANDRADE;7;R. JOAQUIM ALBANO  100 , FORTALEZA;Padre Andrade, FORTALEZA, CE;-3.7344704;-38.5768774;-3.734669;-38.5794766
79;Escola Vila;;;RUA DOM SEBASTIÃO LEME, 819 , FÁTIMA, FORTALEZA , CE, 60050,220;;;Ensino Médio;FÁTIMA;7;RUA DOM SEBASTIÃO LEME  819 , FORTALEZA;Fátima, FORTALEZA, CE;-3.7490641;-38.5254524;-3.7517525;-38.5290848
80;Escola São José;;;AV. VISCONDE DO RIO BRANCO , CENTRO, FORTALEZA , CE, 60055,170;;;Ensino Médio;CENTRO;6; VISCONDE DO RIO BRANCO , FORTALEZA;Centro, FORTALEZA, CE;-3.754098;-38.5203865;-3.7281287;-38.527412
81;Colégio Alamar;;;R. NOGUEIRA ACIOLI, 952 , ALDEOTA, FORTALEZA , CE, 60110,140;;;Ensino Médio;ALDEOTA;7;R. NOGUEIRA ACIOLI  952 , FORTALEZA;Aldeota, FORTALEZA, CE;-3.7324075;-38.517758;-3.7341528;-38.5096997
82;EMEIEF Madre Teresa de Calcutá;;;R. GUILHERME MOREIRA, 75 , FÁTIMA, FORTALEZA , CE, 60040,490;;;Ensino Médio;FÁTIMA;7;R. GUILHERME MOREIRA  75 , FORTALEZA;Fátima, FORTALEZA, CE;-3.7497491;-38.5220665;-3.7517525;-38.5290848
