NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID
Colégio Militar do Corpo de Bombeiros;;;R. Adriano Martins, 436 - Jacarecanga, Fortaleza - CE, 63475-100;;;Ensino Médio
EEEP Juarez Távora;;;Rua Ministro Joaquim Bastos, 747 - Fátima, Fortaleza - CE, 60415-040;Escola técnica em Fortaleza, Ceará;;Ensino Médio
Centro Educacional Casa do Saber;;;Av. das Graviolas, 310 - Cidade 2000, Fortaleza - CE, 60190-600;;;Ensino Médio
CEFOR - Centro Educacional de Fortaleza;;;R. Tibúrcio Cavalcante, 1958 - Aldeota, Fortaleza - CE, 60125-045;;;Ensino Médio
Blive Fortaleza;;;R. José Vilar, 2119 - Dionísio Torres, Fortaleza - CE, 60125-001;;;Ensino Médio
EEEP Juarez Távora;;;Rua Ministro Joaquim Bastos, 747 - Fátima, Fortaleza - CE, 60415-040;Escola técnica em Fortaleza, Ceará;;Ensino Médio
Centro Educacional Casa do Saber;;;Av. das Graviolas, 310 - Cidade 2000, Fortaleza - CE, 60190-600;;;Ensino Médio
EMEIEF Secretário Paulo Petrola;;;Rua Monsenhor Carneiro da Cunha, 415 - Jacarecanga, Fortaleza - CE, 60010-470;;;Ensino Médio
EGF - Escola Grande Fortaleza;;;R. Pôrto Velho, 401 - João XXIII, Fortaleza - CE, 60525-571;;;Ensino Médio
Colégio Adventista de Fortaleza - Educação Infantil;;;Rua Marechal Deodoro, 112 - Benfica, Fortaleza - CE, 60020-060;;;Ensino Médio
Colégio Cívico Militar Batalha do Riachuelo;;;R. E, 100 - Manuel Dias Branco, Fortaleza - CE, 60191-050;;;Ensino Médio
Escola de Ensino Fundamental e Medio Presidente Roosevelt;;;Av. Bezerra de Menezes, 435 - Parque Araxá, Fortaleza - CE, 60010-681;;;Ensino Médio
Creche Escola Aprender;;;Av. Rui Barbosa, 2697 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60135-222;;;Ensino Médio
Conselho Estadual de Educação;2.7;22 comentários;R. Napoleão Laureano, 500 - Fátima, Fortaleza - CE, 60411-170;Escritório do governo do estado em Fortaleza, Ceará;;Ensino Médio
Colégio Professor Aragão;5.0;2 comentários;Av. da Universidade, 2078 - Benfica, Fortaleza - CE, 60020-970;Escola de educação para adultos em Fortaleza, Ceará;;Ensino Médio
Escola Trenzinho Feliz;;;Rua Pe. Chevalier, 212 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60130-080;;;Ensino Médio
FAESDO;;;R. Pinto Madeira, 519 - Centro, Fortaleza - CE, 60150-000;;;Ensino Médio
Unieducar Inteligência Educacional;;;Torre Scopa Platinum Corporate - R. Monsenhor Bruno, 1150 - 50o andar - Aldeota, Fortaleza - CE, 60115-190;;;Ensino Médio
Colégio Magister Vestibulares;;;Centro, Fortaleza - CE, 60055-100;;;Ensino Médio
Escola de Ensino Fundamental Eduardo Campos;;;R. Carneiro da Cunha, 415 - Jacarecanga, Fortaleza - CE, 60010-470;;;Ensino Médio
Colégio Universidade Integrada da Criança;;;Rua Marechal Deodoro, 1280 - Benfica, Fortaleza - CE, 60020-061;;;Ensino Médio
institutolivreead gmail com;;;R. da Assunção, 412 - Centro, Fortaleza - CE, 60050-010;;;Ensino Médio
Escola de Ensino Fundamental Comunitária São Raimundo;;;R. Alexandre Baraúna, 1450 - Rodolfo Teófilo, Fortaleza - CE, 60430-160;;;Ensino Médio
